,ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real,Launch_Year
828,1004027294,The Creative Community,Photography,Photography,USD,2010-08-15,3500.0,2010-06-14 21:52:21,1632.0,failed,26,US,1632.0,1632.0,3500.0,2010
895,1004436383,Ten Animal Masks in 10 Weeks,Performance Art,Art,USD,2010-05-29,2000.0,2010-02-28 01:17:03,421.0,failed,13,US,421.0,421.0,2000.0,2010
921,1004600408,Paragon - Short Film (Canceled),Shorts,Film & Video,USD,2010-07-31,10000.0,2010-06-12 02:19:25,0.0,canceled,0,US,0.0,0.0,10000.0,2010
922,1004619032,"""Violet Tendencies"" (starring Mindy Cohn) on DVD",Shorts,Film & Video,USD,2010-12-17,10000.0,2010-11-30 07:10:40,11610.0,successful,106,US,11610.0,11610.0,10000.0,2010
924,1004621740,We Come From The Sea - An Ambitious Short Film,Shorts,Film & Video,USD,2011-01-26,20000.0,2010-12-24 22:56:53,3355.0,failed,26,US,3355.0,3355.0,20000.0,2010
963,1004859669,"MargOH! in ""What makes a legend drink more? London Style""",Theater,Theater,USD,2010-12-21,1200.0,2010-10-31 16:44:31,110.0,failed,4,US,110.0,110.0,1200.0,2010
1034,1005217515,Broadway Comes To Denver: Scholarship fund,Theater,Theater,USD,2010-04-03,3600.0,2010-01-03 09:25:12,3661.0,successful,30,US,3661.0,3661.0,3600.0,2010
1048,10052511,Please Donate Money For My First Music Video Shooting in September,Country & Folk,Music,USD,2010-09-17,5000.0,2010-08-18 05:29:35,0.0,failed,0,US,0.0,0.0,5000.0,2010
1065,1005359874,Feeding Fingers - Their first double album,World Music,Music,USD,2010-12-01,7000.0,2010-10-17 19:15:21,1550.0,failed,16,US,1550.0,1550.0,7000.0,2010
1146,1005824767,"ChileFornia- An anecdotal view of identity, immigration & diversity",Journalism,Journalism,USD,2010-10-30,8000.0,2010-08-18 21:03:40,0.0,failed,0,US,0.0,0.0,8000.0,2010
1205,1006106331,Launch Alligator Bites and Open Wide to Possibility!,Software,Technology,USD,2010-05-08,7000.0,2010-02-07 18:41:02,2002.0,failed,42,US,2002.0,2002.0,7000.0,2010
1210,1006135954,BANQUETTE,Webseries,Film & Video,USD,2010-08-08,3000.0,2010-06-03 02:30:16,895.0,failed,10,US,895.0,895.0,3000.0,2010
1264,10064113,I AM SOUL RAP (Canceled),Hip-Hop,Music,USD,2010-10-06,5000.0,2010-08-06 00:15:22,160.0,canceled,3,US,160.0,160.0,5000.0,2010
1268,1006456319,"Rosaline Fashions: Eco-Friendly line of Accessories, Jewelry & Custom Fashion",Fashion,Fashion,USD,2010-12-13,1500.0,2010-09-14 07:02:23,88.0,failed,6,US,88.0,88.0,1500.0,2010
1272,1006476938,Moon Far Ocean Deep,Theater,Theater,USD,2010-08-30,2500.0,2010-07-30 01:04:56,2710.0,successful,46,US,2710.0,2710.0,2500.0,2010
1310,100669275,Chicano Art-Adan Hernandez-A Journey Into Chicano Noir,Digital Art,Art,USD,2010-12-22,100000.0,2010-11-22 01:28:00,0.0,failed,0,US,0.0,0.0,100000.0,2010
1312,1006700073,Dying For Success!,Nonfiction,Publishing,USD,2010-11-08,3000.0,2010-09-24 18:56:40,0.0,failed,0,US,0.0,0.0,3000.0,2010
1337,1006879706,Meg's Senior Thesis Film Fundraiser!,Film & Video,Film & Video,USD,2010-08-08,1000.0,2010-06-19 17:01:15,1631.0,successful,19,US,1631.0,1631.0,1000.0,2010
1347,1006908172,Back to Back to the Future: The Comic,Comics,Comics,USD,2010-09-20,2500.0,2010-08-21 21:27:36,451.0,failed,18,US,451.0,451.0,2500.0,2010
1436,1007319222,New Short Film by Michael Weeks,Shorts,Film & Video,USD,2010-12-21,4000.0,2010-11-21 02:34:48,1145.0,failed,13,US,1145.0,1145.0,4000.0,2010
1553,1007952182,Axis saves Hip Hop One Download At A Time,Hip-Hop,Music,USD,2010-07-21,7000.0,2010-06-07 04:34:04,60.0,failed,2,US,60.0,60.0,7000.0,2010
1570,10080310,parasuicidal tendancies a performance of rebirth (Suspended),Art,Art,USD,2010-11-16,1000.0,2010-10-17 18:56:48,0.0,suspended,0,US,0.0,0.0,1000.0,2010
1574,1008038898,"Co-create SATKIRIN's new Kirtan CD, SACRED KISS",World Music,Music,USD,2010-09-18,7000.0,2010-08-19 22:37:18,7000.0,successful,42,US,7000.0,7000.0,7000.0,2010
1592,1008169564,Center Without Walls,Performance Art,Art,USD,2010-09-01,7500.0,2010-07-11 06:03:01,2875.0,failed,54,US,2875.0,2875.0,7500.0,2010
1651,1008468553,Good Food Truck,Food,Food,USD,2010-08-05,4200.0,2010-06-22 03:53:42,4410.0,successful,76,US,4410.0,4410.0,4200.0,2010
1654,1008477107,Great Grandparents of the United States,Photography,Photography,USD,2010-10-08,8000.0,2010-09-08 13:31:22,445.0,failed,5,US,445.0,445.0,8000.0,2010
1666,1008557091,"Knoxturnal makes ""Ode to A One Eyed Mule!""",Shorts,Film & Video,USD,2010-08-26,250.0,2010-07-18 01:35:31,340.0,successful,11,US,340.0,340.0,250.0,2010
1706,1008762149,THE ORIGINAL MUSIC OF MAESTRO VLADIMIR PLESHAKOV,Classical Music,Music,USD,2010-10-26,6500.0,2010-09-11 22:35:11,0.0,failed,0,US,0.0,0.0,6500.0,2010
1767,1009058925,Workshop Development Fund,Theater,Theater,USD,2010-05-30,1200.0,2010-04-24 18:56:26,245.0,failed,10,US,245.0,245.0,1200.0,2010
1833,1009384630,Let's launch a Pink Crush cakery stand!,Food,Food,USD,2010-10-29,545.0,2010-09-16 07:12:43,641.0,successful,28,US,641.0,641.0,545.0,2010
1879,1009705968,New Music for Worship by Tangled Blue,Music,Music,USD,2010-05-10,7000.0,2010-03-31 01:01:59,7060.0,successful,38,US,7060.0,7060.0,7000.0,2010
1895,1009787158,"""This Complete Breakfast of the Gods"" - the trade collection!",Comics,Comics,USD,2010-12-01,2000.0,2010-09-28 09:36:16,2443.0,successful,43,US,2443.0,2443.0,2000.0,2010
1910,1009851439,Tradition is a Temple: a motion picture of New Orleans music,Shorts,Film & Video,USD,2011-02-03,30650.0,2010-11-05 19:56:32,30752.0,successful,287,US,30752.0,30752.0,30650.0,2010
1960,1010211667,Help Fund Anti_Theory Videos!,Music,Music,USD,2010-11-08,5000.0,2010-09-24 02:05:33,0.0,failed,0,US,0.0,0.0,5000.0,2010
2001,1010441842,Se Parte De Una Nueva Hazaña + Recibe algo Cool y Exclusivo! (video w/subtitles),World Music,Music,USD,2010-09-19,4300.0,2010-08-05 18:20:13,5237.88,successful,76,US,5237.88,5237.88,4300.0,2010
2040,1010649633,Future Phenomena | Amanda Browder,Conceptual Art,Art,USD,2010-05-25,800.0,2010-03-24 02:00:01,1064.0,successful,25,US,1064.0,1064.0,800.0,2010
2046,1010675304,People You Think You Know - an intimate look at U.S. / Iran relations,Documentary,Film & Video,USD,2010-03-21,5250.0,2010-02-17 00:33:17,5281.0,successful,45,US,5281.0,5281.0,5250.0,2010
2047,1010682385,Share Lessons in OUR GEORGIA SCHOOL A WILDLIFE HABITAT,Children's Books,Publishing,USD,2011-02-11,3000.0,2010-12-28 14:20:02,52.0,failed,2,US,52.0,52.0,3000.0,2010
2060,1010725357,My first CD gained worldwide recognition.  I'm excited about recording my next one!!!,Indie Rock,Music,USD,2010-09-13,4000.0,2010-07-30 06:19:44,200.0,failed,5,US,200.0,200.0,4000.0,2010
2090,1010914895,"""Eviva il Coltello!""",Shorts,Film & Video,USD,2010-08-09,1500.0,2010-07-04 16:12:45,215.0,failed,9,US,215.0,215.0,1500.0,2010
2096,101095143,Amanda Palmer Presents: Tristan Allen's Debut EP (Recording/Release),Music,Music,USD,2010-09-20,3300.0,2010-09-17 05:56:40,8581.24,successful,437,US,8581.24,8581.24,3300.0,2010
2127,1011121722,Just About Famous,Film & Video,Film & Video,USD,2010-06-15,1500.0,2010-04-14 06:03:01,1600.0,successful,25,US,1600.0,1600.0,1500.0,2010
2188,1011435345,Pre-sale so we can print shirts for meagothy and StompyStomps (Canceled),Fashion,Fashion,USD,2010-11-05,950.0,2010-09-27 17:49:25,200.0,canceled,1,US,200.0,200.0,950.0,2010
2226,1011614416,Emerson ASB 2011 Documentary,Documentary,Film & Video,USD,2011-03-04,2000.0,2010-12-28 22:13:00,2000.0,successful,46,US,2000.0,2000.0,2000.0,2010
2236,1011664710,28 degrees taurus' new album and US tour 2010!,Rock,Music,USD,2010-06-04,700.0,2010-04-22 20:27:52,787.0,successful,21,US,787.0,787.0,700.0,2010
2315,1012003939,Feature-length indie comedy...STRONG script...GREAT film.,Shorts,Film & Video,USD,2011-01-22,10000.0,2010-12-23 04:02:38,900.0,failed,3,US,900.0,900.0,10000.0,2010
2364,1012263055,THOMAS WATKISS WELCOMES FUNDING FOR THE COMPLETION OF HIS VINYL SERIES!,Jazz,Music,USD,2010-10-09,5900.0,2010-07-12 05:39:53,1415.0,failed,8,US,1415.0,1415.0,5900.0,2010
2445,1012679116,Tien - Starboard Sessions CD,Rock,Music,USD,2010-10-14,3000.0,2010-09-14 22:42:49,4065.69,successful,108,US,4065.69,4065.69,3000.0,2010
2460,1012757489,"America, through a glass darkly...",Film & Video,Film & Video,USD,2011-01-05,2500.0,2010-11-16 00:29:00,0.0,failed,0,US,0.0,0.0,2500.0,2010
2461,1012759347,"Cleric attempts recovery of stolen gear, future world conquest",Rock,Music,USD,2010-11-01,4000.0,2010-09-20 20:18:57,4154.8,successful,47,US,4154.8,4154.8,4000.0,2010
2497,1012886740,Storms & Solitude - A Solo-Circumnavigator's Tale - The Book,Nonfiction,Publishing,USD,2010-12-25,12000.0,2010-11-25 01:21:07,535.0,failed,6,US,535.0,535.0,12000.0,2010
2564,1013208395,"NovA's ""The New Black"" - A New Kind of Album",Hip-Hop,Music,USD,2011-02-04,5000.0,2010-12-21 21:39:58,525.0,failed,2,US,525.0,525.0,5000.0,2010
2598,1013374901,My Nine To Five (365 songs in 365 days),Music,Music,USD,2010-11-22,16000.0,2010-10-08 02:26:38,4769.54,failed,133,US,4769.54,4769.54,16000.0,2010
2687,1013754926,"Come and ""Get Some""! (Take Two)",Webseries,Film & Video,USD,2010-12-16,5000.0,2010-11-16 04:19:01,5171.0,successful,48,US,5171.0,5171.0,5000.0,2010
2728,101407199,Create Peace Projects Global Peace Exchange,Art,Art,USD,2010-12-25,5000.0,2010-12-17 22:54:37,6815.0,successful,79,US,6815.0,6815.0,5000.0,2010
2760,1014243202,"The Op Shop. A roving, experimental art program in Hyde Park, Chicago.",Art,Art,USD,2010-09-22,2600.0,2010-08-08 06:37:54,2970.0,successful,59,US,2970.0,2970.0,2600.0,2010
2785,1014374717,Patrick and Cris Make A Movie (and you get a copy),Narrative Film,Film & Video,USD,2010-07-25,50000.0,2010-06-04 19:17:02,5558.0,failed,42,US,5558.0,5558.0,50000.0,2010
2910,1015030205,"""Steam Roller"" Portland's Steamed Cheeseburgers go mobile!",Food,Food,USD,2010-12-11,5000.0,2010-10-26 22:36:25,760.0,failed,20,US,760.0,760.0,5000.0,2010
2929,1015113084,(Un)spoiled - SUPPORT A DOCUMENTARY FILM ON THE FIGHT FOR MONGOLIA'S NATURAL WEALTH!,Documentary,Film & Video,USD,2010-08-17,6000.0,2010-06-28 17:31:58,7122.0,successful,88,US,7122.0,7122.0,6000.0,2010
2968,1015339630,take it away from me (Photo Book),Photography,Photography,USD,2010-08-26,1400.0,2010-07-16 17:53:55,150.0,failed,2,US,150.0,150.0,1400.0,2010
3000,1015512804,A choose-your-own-destiny film-noir web series,Webseries,Film & Video,USD,2010-06-02,6000.0,2010-03-04 19:25:12,105.0,failed,7,US,105.0,105.0,6000.0,2010
3030,1015639305,The Last March Of The Ents makes their debut EP,Rock,Music,USD,2010-10-13,250.0,2010-08-14 10:29:50,0.0,failed,0,US,0.0,0.0,250.0,2010
3085,1015898649,News Northwest,Journalism,Journalism,USD,2010-12-12,7000.0,2010-10-04 04:16:10,1080.0,failed,4,US,1080.0,1080.0,7000.0,2010
3122,1016129917,My first book “Firenze in Fiore” (Florence in Bloom) and I want you to have a copy!,Fiction,Publishing,USD,2010-10-21,3500.0,2010-08-22 02:26:24,0.0,failed,0,US,0.0,0.0,3500.0,2010
3228,1016665592,The Most of Things: an unusual short film that needs that last bit of funding!,Shorts,Film & Video,USD,2010-04-17,500.0,2010-03-16 18:46:56,1270.0,successful,31,US,1270.0,1270.0,500.0,2010
3238,1016728092,"Pulp:  A smoky, sensuous, sexy story of 1950s lesbian life and love  ",Theater,Theater,USD,2010-05-02,2000.0,2010-03-10 03:02:35,2225.0,successful,38,US,2225.0,2225.0,2000.0,2010
3265,1016879264,Bintou: Giving Harlem Relevant Theatre ,Theater,Theater,USD,2010-05-22,2550.0,2010-03-25 03:11:22,0.0,failed,0,US,0.0,0.0,2550.0,2010
3318,1017146342,"Be a part of An Films newest short film, 1901!",Shorts,Film & Video,USD,2010-07-03,3150.0,2010-06-09 06:32:32,3487.0,successful,59,US,3487.0,3487.0,3150.0,2010
3384,1017463092,"""Neak Ta"" - supporting experimental arts and music in Phnom Penh, Cambodia",Art,Art,USD,2010-04-18,2500.0,2010-03-12 10:33:48,2570.0,successful,35,US,2570.0,2570.0,2500.0,2010
3389,1017481629,Help Produce the Brand New ILLUS Album and Comic Book!,Hip-Hop,Music,USD,2011-01-08,7500.0,2010-11-09 03:40:33,565.0,failed,16,US,565.0,565.0,7500.0,2010
3417,1017573801,Wax Fingers Makes an Album,Rock,Music,USD,2010-07-12,1800.0,2010-05-27 22:18:44,3412.0,successful,102,US,3412.0,3412.0,1800.0,2010
3471,1017883045,Lovely Math - A Book of Fractals,Digital Art,Art,USD,2010-04-10,2500.0,2010-01-13 17:34:40,135.0,failed,3,US,135.0,135.0,2500.0,2010
3478,1017924930,MY LIFE: Chasing the Dream.  (Canceled),Documentary,Film & Video,USD,2010-12-02,22000.0,2010-11-02 20:01:29,2005.0,canceled,10,US,2005.0,2005.0,22000.0,2010
3503,1018031776,Creating a promo for the Horror Film 'TRUST',Narrative Film,Film & Video,USD,2010-08-30,15000.0,2010-07-20 05:18:02,115.0,failed,3,US,115.0,115.0,15000.0,2010
3505,1018037658,Scuttle: Handmade Cuteness,Product Design,Design,USD,2010-07-28,2500.0,2010-06-17 03:25:17,130.0,failed,5,US,130.0,130.0,2500.0,2010
3666,1018932911,Bring to Light: Nuit Blanche New York,Art,Art,USD,2010-10-10,5000.0,2010-09-07 19:05:50,5036.0,successful,92,US,5036.0,5036.0,5000.0,2010
3784,1019498485,Overcoming Going Under: Post Production,Film & Video,Film & Video,USD,2010-04-20,5263.0,2010-01-21 00:03:11,130.0,failed,2,US,130.0,130.0,5263.0,2010
3954,1020356513,Support and contribute to the ART101010 PROJECT,Photography,Photography,USD,2010-10-04,10000.0,2010-08-29 12:46:35,80.0,failed,2,US,80.0,80.0,10000.0,2010
4001,1020579966,Dark Allies,Film & Video,Film & Video,USD,2010-08-17,3000.0,2010-07-16 21:16:53,3342.0,successful,40,US,3342.0,3342.0,3000.0,2010
4046,1020757917,Join my mission to create an epic song to inspire girls everywhere.,Country & Folk,Music,USD,2010-11-18,5000.0,2010-10-19 19:51:04,90.0,failed,5,US,90.0,90.0,5000.0,2010
4094,1021004814,Wild Image Project 2010 Argentina Expedtion,Photography,Photography,USD,2010-04-26,3500.0,2010-01-26 20:13:18,0.0,failed,0,US,0.0,0.0,3500.0,2010
4208,1021617887,Absence of Love:  Love is a Battle. Love is a War.  A film by Billy Gerard Frank (Canceled),Narrative Film,Film & Video,USD,2010-08-06,25000.0,2010-06-20 23:52:10,725.0,canceled,13,US,725.0,725.0,25000.0,2010
4239,1021776941,"ALLIED FORCES: Historical Fiction meets the Super-Hero set, during WWII.",Comics,Comics,USD,2010-11-16,1200.0,2010-09-25 01:31:21,1565.0,successful,46,US,1565.0,1565.0,1200.0,2010
4254,1021865609,Help Emilio Record his new CD with Kickstarter! ( And get a Signed CD or MORE!) ,World Music,Music,USD,2010-05-08,15000.0,2010-03-17 19:19:23,240.0,failed,7,US,240.0,240.0,15000.0,2010
4285,1022027702,BrokenRail Debut Album w/ Shinedown/Crossfade Producer Rick Beato,Music,Music,USD,2010-05-27,22000.0,2010-04-24 08:33:59,100.0,failed,1,US,100.0,100.0,22000.0,2010
4351,102232431,Food Brand That Supports US Farmers (Canceled),Film & Video,Film & Video,USD,2010-06-12,12500.0,2010-03-23 18:05:04,0.0,canceled,0,US,0.0,0.0,12500.0,2010
4389,102250105,"The Baristas: Comedy, with Room for Cream.",Webseries,Film & Video,USD,2010-09-22,3000.0,2010-08-19 18:20:46,3660.0,successful,78,US,3660.0,3660.0,3000.0,2010
4405,1022575158,Taproot Ensemble brings Rock Plaza Central to the Stage,Theater,Theater,USD,2011-02-01,2500.0,2010-12-04 17:41:00,0.0,canceled,0,US,0.0,0.0,2500.0,2010
4433,1022681138,LINKED (Canceled),Narrative Film,Film & Video,USD,2011-02-07,5000.0,2010-12-09 05:35:30,0.0,canceled,0,US,0.0,0.0,5000.0,2010
4463,1022828798,LOVELAND: Everything You Ever Wanted To Know About Detroit Micro Real Estate...,Performance Art,Art,USD,2010-04-28,500.0,2010-04-13 05:27:58,572.0,successful,11,US,572.0,572.0,500.0,2010
4478,1022872082,HEROIC: Boston Concrete Architecture 1957-1976,Nonfiction,Publishing,USD,2010-09-20,8000.0,2010-06-28 22:28:04,530.0,failed,9,US,530.0,530.0,8000.0,2010
4606,102357040,"""Til' Friend's Do Us Part""",Narrative Film,Film & Video,USD,2010-06-06,15000.0,2010-03-09 01:00:49,0.0,failed,0,US,0.0,0.0,15000.0,2010
4650,1023739139,Five Million People. One Book.,Nonfiction,Publishing,USD,2011-01-20,3000.0,2010-11-21 04:32:55,4050.0,successful,51,US,4050.0,4050.0,3000.0,2010
4714,1023992013,Leonard's Girlfriend is Dead,Film & Video,Film & Video,USD,2010-05-01,500.0,2010-04-21 01:02:42,1005.0,successful,27,US,1005.0,1005.0,500.0,2010
4751,1024165572,Let's get a demo cd made!!!,Rock,Music,USD,2010-10-16,550.0,2010-09-16 04:07:06,0.0,failed,0,US,0.0,0.0,550.0,2010
4798,1024491677,Alexis Gideon - Video Musics II: Sun Wu-Kong,Music,Music,USD,2010-10-15,750.0,2010-09-11 00:58:32,795.0,successful,22,US,795.0,795.0,750.0,2010
4800,1024495440,"Bedlam Rep Presents ""Not About Heroes""",Theater,Theater,USD,2010-06-30,5000.0,2010-04-02 15:00:24,150.0,failed,4,US,150.0,150.0,5000.0,2010
4805,1024511855,Waking Dreams: vibraphonist Chris Dingman's debut album,Jazz,Music,USD,2011-01-18,4000.0,2010-12-12 16:34:55,5195.0,successful,73,US,5195.0,5195.0,4000.0,2010
4870,102488152,My Third Studio Album,Music,Music,USD,2010-12-29,20000.0,2010-09-30 00:33:39,0.0,failed,0,US,0.0,0.0,20000.0,2010
4916,1025115732,What Is The Color Of Your Heart?,Documentary,Film & Video,USD,2010-07-29,8888.0,2010-05-30 06:40:41,710.76,failed,13,US,710.76,710.76,8888.0,2010
4933,1025196149,Killer Ink: film featuring Peter Mayhew aka Chewbacca,Film & Video,Film & Video,USD,2010-09-16,10000.0,2010-07-29 02:28:56,20.0,failed,1,US,20.0,20.0,10000.0,2010
4997,1025502083,Assist Sublimation Pressworks in publishing a poetry book!,Poetry,Publishing,USD,2010-12-19,1000.0,2010-11-19 14:54:26,590.0,failed,18,US,590.0,590.0,1000.0,2010
5006,1025576318,"""Ghost Ride""-the trailer",Narrative Film,Film & Video,USD,2010-06-21,5000.0,2010-05-11 19:26:56,300.0,failed,3,US,300.0,300.0,5000.0,2010
5008,1025580163,INGATHER: Stories of Chicago Chefs' Favorite Farmers (Canceled),Photography,Photography,USD,2010-07-18,15000.0,2010-06-10 16:46:21,3495.0,canceled,26,US,3495.0,3495.0,15000.0,2010
5129,1026184808,"New C.D. ""Under the Radar"" with music videos",Country & Folk,Music,USD,2010-08-16,2000.0,2010-06-17 03:55:19,2000.0,successful,18,US,2000.0,2000.0,2000.0,2010
5180,1026429101,A Paper Internet,Art,Art,USD,2010-12-25,2000.0,2010-10-31 10:53:08,356.0,failed,8,US,356.0,356.0,2000.0,2010
5219,1026637716,"""What Would Lemmy Do?"" music video by Joecephus & TGJM",Film & Video,Film & Video,USD,2010-12-16,1500.0,2010-11-18 21:47:55,1525.0,successful,29,US,1525.0,1525.0,1500.0,2010
5280,1026929560,Microlending Film: A Documentary About Enterprising Women,Documentary,Film & Video,USD,2011-01-29,19999.0,2010-12-28 17:04:17,2551.0,failed,52,US,2551.0,2551.0,19999.0,2010
5429,1027724396,Let me paint your Twitter Avatar & Favorite Tweet for the Twitter Diary 2010 Exhibit!,Painting,Art,USD,2010-02-15,2500.0,2010-01-01 03:37:51,165.0,failed,4,US,165.0,165.0,2500.0,2010
5475,1027942734,Clark: A gonzomentary art series (Canceled),Webseries,Film & Video,USD,2010-12-10,1000.0,2010-11-10 04:59:21,0.0,canceled,0,US,0.0,0.0,1000.0,2010
5517,1028238244,Forward Motion's First EP,Jazz,Music,USD,2010-06-01,1000.0,2010-04-28 07:05:13,1482.0,successful,32,US,1482.0,1482.0,1000.0,2010
5519,1028252250,Gutter Bunny Project: Global Cycling Experience (Canceled),Art,Art,USD,2010-08-24,4800.0,2010-07-20 03:38:47,85.0,canceled,4,US,85.0,85.0,4800.0,2010
5527,1028274924,Co-Produce Broadway Stars at Benefit honoring Judith Light,Theater,Theater,USD,2010-11-16,5000.0,2010-10-27 03:58:48,353.0,failed,13,US,353.0,353.0,5000.0,2010
5605,1028758385,"Failures' Union: ""Sinker"" Album on LP",Music,Music,USD,2010-02-22,2000.0,2010-01-19 18:13:58,2170.35,successful,61,US,2170.35,2170.35,2000.0,2010
5611,1028804983,Pumpkin Head a film by Jeff Torrice,Shorts,Film & Video,USD,2011-02-01,2600.0,2010-12-10 21:24:26,2625.0,successful,25,US,2625.0,2625.0,2600.0,2010
5638,1028907131,Community Living: A Documentary,Documentary,Film & Video,USD,2010-11-04,1200.0,2010-10-20 06:12:24,1270.0,successful,32,US,1270.0,1270.0,1200.0,2010
5698,1029156571,"Latin Heritage Cards: ""Learn It, Dream It, Make It...""",Tabletop Games,Games,USD,2011-03-14,2000.0,2010-12-14 05:41:43,0.0,failed,0,US,0.0,0.0,2000.0,2010
5733,1029361210,Art exhibition fundraiser,Art,Art,USD,2010-08-13,1500.0,2010-07-31 07:31:24,175.0,failed,9,US,175.0,175.0,1500.0,2010
5740,1029391723,The Kobolds EP: Theatrical Innovations in Innovative Music,Indie Rock,Music,USD,2010-05-31,1200.0,2010-04-24 00:42:26,1201.0,successful,24,US,1201.0,1201.0,1200.0,2010
5742,1029417144,Make a Splash! Pre-Buy the Sync or Swim DVD TODAY!,Documentary,Film & Video,USD,2011-01-06,5000.0,2010-12-07 22:40:21,10086.67,successful,193,US,10086.67,10086.67,5000.0,2010
5835,1029940360,Frankie's Saturn Return photo show and book project. <3,Photography,Photography,USD,2010-11-10,3000.0,2010-11-01 22:09:57,4450.01,successful,62,US,4450.01,4450.01,3000.0,2010
5850,1030022390,The Sugarless Organicookie,Food,Food,USD,2010-07-03,500.0,2010-05-17 21:34:56,20.0,failed,2,US,20.0,20.0,500.0,2010
5856,1030038586,Amazing Tales from Beyond ,Fiction,Publishing,USD,2010-07-04,1240.0,2010-05-23 06:48:12,0.0,failed,0,US,0.0,0.0,1240.0,2010
5901,1030258165,VIKTOR LUNA S/S 2011 FASHION SHOW!,Fashion,Fashion,USD,2010-06-30,3000.0,2010-05-27 03:15:06,1125.0,failed,23,US,1125.0,1125.0,3000.0,2010
5916,1030315535,It's time for some Action!,Country & Folk,Music,USD,2010-05-13,1750.0,2010-04-26 03:11:22,1940.46,successful,70,US,1940.46,1940.46,1750.0,2010
5936,1030433945,Hit the Lights: A Short Film (Canceled),Shorts,Film & Video,USD,2010-10-26,2000.0,2010-09-28 11:01:08,45.0,canceled,2,US,45.0,45.0,2000.0,2010
5941,1030448552,Matching funds for noisivelvet/mobile garden Edit Date: July 16!!,Hardware,Technology,USD,2010-08-01,15000.0,2010-06-30 01:54:14,240.0,failed,7,US,240.0,240.0,15000.0,2010
